order	delta_t	error
4	0.000050	0.000006
4	0.000100	0.000013
4	0.000150	0.000019
4	0.000200	0.000025
4	0.000250	0.000031
4	0.000300	0.000038
4	0.000350	0.000044
4	0.000400	0.000050
4	0.000450	0.000056
4	0.000500	0.000062
4	0.000550	0.000068
4	0.000600	0.000074
4	0.000650	0.000080
4	0.000700	0.000086
4	0.000750	0.000092
4	0.000800	0.000098
4	0.000850	0.000103
4	0.000900	0.000109
4	0.000950	0.000115
4	0.001000	0.000121
4	0.001050	0.000126
4	0.001100	0.000132
4	0.001150	0.000137
4	0.001200	0.000143
4	0.001250	0.000148
4	0.001300	0.000154
4	0.001350	0.000159
4	0.001400	0.000165
4	0.001450	0.000170
4	0.001500	0.000175
4	0.001550	0.000180
4	0.001600	0.000186
4	0.001650	0.000191
4	0.001700	0.000196
4	0.001750	0.000201
4	0.001800	0.000206
4	0.001850	0.000211
4	0.001900	0.000216
4	0.001950	0.000221
4	0.002000	0.000226
4	0.002050	0.000231
4	0.002100	0.000236
4	0.002150	0.000240
4	0.002200	0.000245
4	0.002250	0.000250
4	0.002300	0.000255
4	0.002350	0.000259
4	0.002400	0.000264
4	0.002450	0.000269
4	0.002500	0.000273
4	0.002550	0.000278
4	0.002600	0.000282
4	0.002650	0.000287
4	0.002700	0.000292
4	0.002750	0.000296
4	0.002800	0.000300
4	0.002850	0.000305
4	0.002900	0.000309
4	0.002950	0.000314
4	0.003000	0.000318
4	0.003050	0.000322
4	0.003100	0.000327
4	0.003150	0.000331
4	0.003200	0.000335
4	0.003250	0.000339
4	0.003300	0.000344
4	0.003350	0.000348
4	0.003400	0.000352
4	0.003450	0.000356
4	0.003500	0.000360
4	0.003550	0.000364
4	0.003600	0.000368
4	0.003650	0.000373
4	0.003700	0.000377
4	0.003750	0.000381
4	0.003800	0.000385
4	0.003850	0.000389
4	0.003900	0.000393
4	0.003950	0.000397
4	0.004000	0.000400
4	0.004050	0.000404
4	0.004100	0.000408
4	0.004150	0.000412
4	0.004200	0.000416
4	0.004250	0.000420
4	0.004300	0.000424
4	0.004350	0.000427
4	0.004400	0.000431
4	0.004450	0.000435
4	0.004500	0.000439
4	0.004550	0.000443
4	0.004600	0.000446
4	0.004650	0.000450
4	0.004700	0.000454
4	0.004750	0.000457
4	0.004800	0.000461
4	0.004850	0.000465
4	0.004900	0.000468
4	0.004950	0.000472
4	0.005000	0.000476
4	0.005050	0.000479
4	0.005100	0.000483
4	0.005150	0.000486
4	0.005200	0.000490
4	0.005250	0.000493
4	0.005300	0.000497
4	0.005350	0.000500
4	0.005400	0.000504
4	0.005450	0.000507
4	0.005500	0.000511
4	0.005550	0.000514
4	0.005600	0.000518
4	0.005650	0.000521
4	0.005700	0.000525
4	0.005750	0.000528
4	0.005800	0.000531
4	0.005850	0.000535
4	0.005900	0.000538
4	0.005950	0.000542
4	0.006000	0.000545
4	0.006050	0.000548
4	0.006100	0.000552
4	0.006150	0.000555
4	0.006200	0.000558
4	0.006250	0.000562
4	0.006300	0.000565
4	0.006350	0.000568
4	0.006400	0.000571
4	0.006450	0.000575
4	0.006500	0.000578
4	0.006550	0.000581
4	0.006600	0.000584
4	0.006650	0.000587
4	0.006700	0.000591
4	0.006750	0.000594
4	0.006800	0.000597
4	0.006850	0.000600
4	0.006900	0.000603
4	0.006950	0.000607
4	0.007000	0.000610
4	0.007050	0.000613
4	0.007100	0.000616
4	0.007150	0.000619
4	0.007200	0.000622
4	0.007250	0.000625
4	0.007300	0.000628
4	0.007350	0.000631
4	0.007400	0.000634
4	0.007450	0.000638
4	0.007500	0.000641
4	0.007550	0.000644
4	0.007600	0.000647
4	0.007650	0.000650
4	0.007700	0.000653
4	0.007750	0.000656
4	0.007800	0.000659
4	0.007850	0.000662
4	0.007900	0.000665
4	0.007950	0.000668
4	0.008000	0.000671
4	0.008050	0.000674
4	0.008100	0.000677
4	0.008150	0.000680
4	0.008200	0.000683
4	0.008250	0.000686
4	0.008300	0.000689
4	0.008350	0.000691
4	0.008400	0.000694
4	0.008450	0.000697
4	0.008500	0.000700
4	0.008550	0.000703
4	0.008600	0.000706
4	0.008650	0.000709
4	0.008700	0.000712
4	0.008750	0.000714
4	0.008800	0.000717
4	0.008850	0.000720
4	0.008900	0.000723
4	0.008950	0.000726
4	0.009000	0.000729
4	0.009050	0.000731
4	0.009100	0.000734
4	0.009150	0.000737
4	0.009200	0.000740
4	0.009250	0.000743
4	0.009300	0.000745
4	0.009350	0.000748
4	0.009400	0.000751
4	0.009450	0.000754
4	0.009500	0.000756
4	0.009550	0.000759
4	0.009600	0.000762
4	0.009650	0.000765
4	0.009700	0.000767
4	0.009750	0.000770
4	0.009800	0.000773
4	0.009850	0.000776
4	0.009900	0.000778
4	0.009950	0.000781
4	0.010000	0.000784
4	0.010050	0.000786
4	0.010100	0.000789
4	0.010150	0.000792
4	0.010200	0.000795
4	0.010250	0.000797
4	0.010300	0.000800
4	0.010350	0.000803
4	0.010400	0.000805
4	0.010450	0.000808
4	0.010500	0.000811
4	0.010550	0.000813
4	0.010600	0.000816
4	0.010650	0.000818
4	0.010700	0.000821
4	0.010750	0.000824
4	0.010800	0.000826
4	0.010850	0.000829
4	0.010900	0.000832
4	0.010950	0.000834
4	0.011000	0.000837
4	0.011050	0.000840
4	0.011100	0.000842
4	0.011150	0.000845
4	0.011200	0.000847
4	0.011250	0.000850
4	0.011300	0.000852
4	0.011350	0.000855
4	0.011400	0.000858
4	0.011450	0.000860
4	0.011500	0.000863
4	0.011550	0.000865
4	0.011600	0.000868
4	0.011650	0.000870
4	0.011700	0.000873
4	0.011750	0.000875
4	0.011800	0.000878
4	0.011850	0.000880
4	0.011900	0.000883
4	0.011950	0.000885
4	0.012000	0.000888
4	0.012050	0.000891
4	0.012100	0.000893
4	0.012150	0.000895
4	0.012200	0.000898
4	0.012250	0.000900
4	0.012300	0.000903
4	0.012350	0.000905
4	0.012400	0.000908
4	0.012450	0.000910
4	0.012500	0.000913
4	0.012550	0.000915
4	0.012600	0.000918
4	0.012650	0.000920
4	0.012700	0.000923
4	0.012750	0.000925
4	0.012800	0.000927
4	0.012850	0.000930
4	0.012900	0.000932
4	0.012950	0.000935
4	0.013000	0.000937
4	0.013050	0.000940
4	0.013100	0.000942
4	0.013150	0.000944
4	0.013200	0.000947
4	0.013250	0.000949
4	0.013300	0.000951
4	0.013350	0.000954
4	0.013400	0.000956
4	0.013450	0.000959
4	0.013500	0.000961
4	0.013550	0.000963
4	0.013600	0.000966
4	0.013650	0.000968
4	0.013700	0.000971
4	0.013750	0.000973
4	0.013800	0.000975
4	0.013850	0.000978
4	0.013900	0.000980
4	0.013950	0.000982
4	0.014000	0.000985
4	0.014050	0.000987
4	0.014100	0.000989
4	0.014150	0.000992
4	0.014200	0.000994
4	0.014250	0.000996
4	0.014300	0.000999
4	0.014350	0.001001
4	0.014400	0.001004
4	0.014450	0.001006
4	0.014500	0.001008
4	0.014550	0.001011
4	0.014600	0.001013
4	0.014650	0.001015
4	0.014700	0.001017
4	0.014750	0.001020
4	0.014800	0.001022
4	0.014850	0.001024
4	0.014900	0.001027
4	0.014950	0.001029
4	0.015000	0.001031
4	0.015050	0.001034
4	0.015100	0.001036
4	0.015150	0.001038
4	0.015200	0.001041
4	0.015250	0.001043
4	0.015300	0.001045
4	0.015350	0.001047
4	0.015400	0.001050
4	0.015450	0.001052
4	0.015500	0.001054
4	0.015550	0.001056
4	0.015600	0.001058
4	0.015650	0.001061
4	0.015700	0.001063
4	0.015750	0.001065
4	0.015800	0.001067
4	0.015850	0.001070
4	0.015900	0.001072
4	0.015950	0.001074
4	0.016000	0.001076
4	0.016050	0.001079
4	0.016100	0.001081
4	0.016150	0.001083
4	0.016200	0.001085
4	0.016250	0.001088
4	0.016300	0.001090
4	0.016350	0.001092
4	0.016400	0.001094
4	0.016450	0.001096
4	0.016500	0.001098
4	0.016550	0.001100
4	0.016600	0.001103
4	0.016650	0.001105
4	0.016700	0.001107
4	0.016750	0.001109
4	0.016800	0.001112
4	0.016850	0.001114
4	0.016900	0.001116
4	0.016950	0.001118
4	0.017000	0.001120
4	0.017050	0.001123
4	0.017100	0.001125
4	0.017150	0.001127
4	0.017200	0.001129
4	0.017250	0.001131
4	0.017300	0.001133
4	0.017350	0.001135
4	0.017400	0.001138
4	0.017450	0.001140
4	0.017500	0.001142
4	0.017550	0.001144
4	0.017600	0.001146
4	0.017650	0.001148
4	0.017700	0.001151
4	0.017750	0.001153
4	0.017800	0.001155
4	0.017850	0.001157
4	0.017900	0.001159
4	0.017950	0.001161
4	0.018000	0.001163
4	0.018050	0.001165
4	0.018100	0.001168
4	0.018150	0.001170
4	0.018200	0.001172
4	0.018250	0.001174
4	0.018300	0.001176
4	0.018350	0.001178
4	0.018400	0.001180
4	0.018450	0.001182
4	0.018500	0.001184
4	0.018550	0.001186
4	0.018600	0.001189
4	0.018650	0.001191
4	0.018700	0.001193
4	0.018750	0.001195
4	0.018800	0.001197
4	0.018850	0.001199
4	0.018900	0.001201
4	0.018950	0.001203
4	0.019000	0.001205
4	0.019050	0.001208
4	0.019100	0.001210
4	0.019150	0.001212
4	0.019200	0.001214
4	0.019250	0.001216
4	0.019300	0.001218
4	0.019350	0.001220
4	0.019400	0.001222
4	0.019450	0.001224
4	0.019500	0.001226
4	0.019550	0.001228
4	0.019600	0.001230
4	0.019650	0.001232
4	0.019700	0.001234
4	0.019750	0.001236
4	0.019800	0.001238
4	0.019850	0.001241
4	0.019900	0.001243
4	0.019950	0.001245
4	0.020000	0.001247
4	0.020050	0.001249
4	0.020100	0.001251
4	0.020150	0.001253
4	0.020200	0.001255
4	0.020250	0.001257
4	0.020300	0.001259
4	0.020350	0.001261
4	0.020400	0.001263
4	0.020450	0.001265
4	0.020500	0.001267
4	0.020550	0.001269
4	0.020600	0.001271
4	0.020650	0.001273
4	0.020700	0.001275
4	0.020750	0.001277
4	0.020800	0.001279
4	0.020850	0.001281
4	0.020900	0.001283
4	0.020950	0.001285
4	0.021000	0.001287
4	0.021050	0.001289
4	0.021100	0.001291
4	0.021150	0.001293
4	0.021200	0.001295
4	0.021250	0.001297
4	0.021300	0.001299
4	0.021350	0.001301
4	0.021400	0.001303
4	0.021450	0.001305
4	0.021500	0.001307
4	0.021550	0.001309
4	0.021600	0.001311
4	0.021650	0.001313
4	0.021700	0.001315
4	0.021750	0.001317
4	0.021800	0.001319
4	0.021850	0.001320
4	0.021900	0.001322
4	0.021950	0.001324
4	0.022000	0.001326
4	0.022050	0.001328
4	0.022100	0.001330
4	0.022150	0.001332
4	0.022200	0.001334
4	0.022250	0.001336
4	0.022300	0.001338
4	0.022350	0.001340
4	0.022400	0.001342
4	0.022450	0.001344
4	0.022500	0.001346
4	0.022550	0.001348
4	0.022600	0.001350
4	0.022650	0.001352
4	0.022700	0.001354
4	0.022750	0.001356
4	0.022800	0.001358
4	0.022850	0.001360
4	0.022900	0.001362
4	0.022950	0.001364
4	0.023000	0.001366
4	0.023050	0.001368
4	0.023100	0.001369
4	0.023150	0.001371
4	0.023200	0.001373
4	0.023250	0.001375
4	0.023300	0.001377
4	0.023350	0.001379
4	0.023400	0.001380
4	0.023450	0.001382
4	0.023500	0.001384
4	0.023550	0.001386
4	0.023600	0.001388
4	0.023650	0.001390
4	0.023700	0.001392
4	0.023750	0.001394
4	0.023800	0.001396
4	0.023850	0.001398
4	0.023900	0.001400
4	0.023950	0.001402
4	0.024000	0.001404
4	0.024050	0.001405
4	0.024100	0.001407
4	0.024150	0.001409
4	0.024200	0.001411
4	0.024250	0.001413
4	0.024300	0.001415
4	0.024350	0.001417
4	0.024400	0.001419
4	0.024450	0.001421
4	0.024500	0.001423
4	0.024550	0.001424
4	0.024600	0.001426
4	0.024650	0.001428
4	0.024700	0.001430
4	0.024750	0.001432
4	0.024800	0.001434
4	0.024850	0.001435
4	0.024900	0.001437
4	0.024950	0.001439
4	0.025000	0.001441
4	0.025050	0.001443
4	0.025100	0.001445
4	0.025150	0.001447
4	0.025200	0.001449
4	0.025250	0.001451
4	0.025300	0.001452
4	0.025350	0.001454
4	0.025400	0.001456
4	0.025450	0.001458
4	0.025500	0.001460
4	0.025550	0.001462
4	0.025600	0.001464
4	0.025650	0.001465
4	0.025700	0.001467
4	0.025750	0.001469
4	0.025800	0.001471
4	0.025850	0.001473
4	0.025900	0.001474
4	0.025950	0.001476
4	0.026000	0.001478
4	0.026050	0.001480
4	0.026100	0.001482
4	0.026150	0.001483
4	0.026200	0.001485
4	0.026250	0.001487
4	0.026300	0.001489
4	0.026350	0.001490
4	0.026400	0.001492
4	0.026450	0.001494
4	0.026500	0.001496
4	0.026550	0.001497
4	0.026600	0.001499
4	0.026650	0.001501
4	0.026700	0.001503
4	0.026750	0.001505
4	0.026800	0.001507
4	0.026850	0.001509
4	0.026900	0.001511
4	0.026950	0.001513
4	0.027000	0.001514
4	0.027050	0.001516
4	0.027100	0.001518
4	0.027150	0.001520
4	0.027200	0.001522
4	0.027250	0.001524
4	0.027300	0.001525
4	0.027350	0.001527
4	0.027400	0.001529
4	0.027450	0.001531
4	0.027500	0.001533
4	0.027550	0.001534
4	0.027600	0.001536
4	0.027650	0.001538
4	0.027700	0.001540
4	0.027750	0.001541
4	0.027800	0.001543
4	0.027850	0.001545
4	0.027900	0.001546
4	0.027950	0.001548
4	0.028000	0.001550
4	0.028050	0.001551
4	0.028100	0.001553
4	0.028150	0.001555
4	0.028200	0.001557
4	0.028250	0.001558
4	0.028300	0.001560
4	0.028350	0.001562
4	0.028400	0.001564
4	0.028450	0.001566
4	0.028500	0.001568
4	0.028550	0.001569
4	0.028600	0.001571
4	0.028650	0.001573
4	0.028700	0.001575
4	0.028750	0.001577
4	0.028800	0.001579
4	0.028850	0.001581
4	0.028900	0.001582
4	0.028950	0.001584
4	0.029000	0.001586
4	0.029050	0.001588
4	0.029100	0.001589
4	0.029150	0.001591
4	0.029200	0.001593
4	0.029250	0.001595
4	0.029300	0.001596
4	0.029350	0.001598
4	0.029400	0.001600
4	0.029450	0.001601
4	0.029500	0.001603
4	0.029550	0.001605
4	0.029600	0.001606
4	0.029650	0.001608
4	0.029700	0.001609
4	0.029750	0.001611
4	0.029800	0.001613
4	0.029850	0.001614
4	0.029900	0.001616
4	0.029950	0.001618
4	0.030000	0.001619
4	0.030050	0.001621
4	0.030100	0.001623
4	0.030150	0.001624
4	0.030200	0.001626
4	0.030250	0.001628
4	0.030300	0.001630
4	0.030350	0.001632
4	0.030400	0.001633
4	0.030450	0.001635
4	0.030500	0.001637
4	0.030550	0.001639
4	0.030600	0.001640
4	0.030650	0.001642
4	0.030700	0.001644
4	0.030750	0.001646
4	0.030800	0.001647
4	0.030850	0.001649
4	0.030900	0.001651
4	0.030950	0.001653
4	0.031000	0.001655
4	0.031050	0.001656
4	0.031100	0.001658
4	0.031150	0.001660
4	0.031200	0.001662
4	0.031250	0.001663
4	0.031300	0.001665
4	0.031350	0.001667
4	0.031400	0.001668
4	0.031450	0.001670
4	0.031500	0.001672
4	0.031550	0.001673
4	0.031600	0.001675
4	0.031650	0.001677
4	0.031700	0.001678
4	0.031750	0.001680
4	0.031800	0.001682
4	0.031850	0.001683
4	0.031900	0.001685
4	0.031950	0.001686
4	0.032000	0.001688
4	0.032050	0.001690
4	0.032100	0.001691
4	0.032150	0.001693
4	0.032200	0.001695
4	0.032250	0.001697
4	0.032300	0.001698
4	0.032350	0.001700
4	0.032400	0.001702
4	0.032450	0.001703
4	0.032500	0.001705
4	0.032550	0.001707
4	0.032600	0.001708
4	0.032650	0.001710
4	0.032700	0.001712
4	0.032750	0.001713
4	0.032800	0.001715
4	0.032850	0.001717
4	0.032900	0.001718
4	0.032950	0.001720
4	0.033000	0.001721
4	0.033050	0.001723
4	0.033100	0.001725
4	0.033150	0.001726
4	0.033200	0.001728
4	0.033250	0.001729
4	0.033300	0.001731
4	0.033350	0.001733
4	0.033400	0.001734
4	0.033450	0.001736
4	0.033500	0.001737
4	0.033550	0.001739
4	0.033600	0.001741
4	0.033650	0.001742
4	0.033700	0.001744
4	0.033750	0.001746
4	0.033800	0.001747
4	0.033850	0.001749
4	0.033900	0.001751
4	0.033950	0.001752
4	0.034000	0.001754
4	0.034050	0.001756
4	0.034100	0.001758
4	0.034150	0.001760
4	0.034200	0.001761
4	0.034250	0.001763
4	0.034300	0.001765
4	0.034350	0.001767
4	0.034400	0.001768
4	0.034450	0.001770
4	0.034500	0.001772
4	0.034550	0.001774
4	0.034600	0.001775
4	0.034650	0.001777
4	0.034700	0.001779
4	0.034750	0.001780
4	0.034800	0.001782
4	0.034850	0.001783
4	0.034900	0.001785
4	0.034950	0.001787
4	0.035000	0.001788
4	0.035050	0.001790
4	0.035100	0.001791
4	0.035150	0.001793
4	0.035200	0.001794
4	0.035250	0.001796
4	0.035300	0.001797
4	0.035350	0.001799
4	0.035400	0.001800
4	0.035450	0.001802
4	0.035500	0.001803
4	0.035550	0.001805
4	0.035600	0.001806
4	0.035650	0.001808
4	0.035700	0.001809
4	0.035750	0.001811
4	0.035800	0.001812
4	0.035850	0.001814
4	0.035900	0.001815
4	0.035950	0.001817
4	0.036000	0.001818
4	0.036050	0.001820
4	0.036100	0.001821
4	0.036150	0.001823
4	0.036200	0.001824
4	0.036250	0.001826
4	0.036300	0.001828
4	0.036350	0.001829
4	0.036400	0.001831
4	0.036450	0.001833
