time	order	parallel	delta_t	repetition
4.647198E+00	2	false	0.000500	1
4.672958E+00	2	false	0.000500	2
4.649283E+00	2	false	0.000500	3
4.754210E+00	2	false	0.000500	4
4.658284E+00	2	false	0.000500	5
6.760054E+00	4	false	0.000500	1
6.664634E+00	4	false	0.000500	2
6.659773E+00	4	false	0.000500	3
6.667074E+00	4	false	0.000500	4
6.765790E+00	4	false	0.000500	5
1.061734E+01	6	false	0.000500	1
1.045760E+01	6	false	0.000500	2
1.074926E+01	6	false	0.000500	3
1.006732E+01	6	false	0.000500	4
9.861968E+00	6	false	0.000500	5
6.107348E+01	2	true	0.000500	1
5.824946E+01	2	true	0.000500	2
5.729200E+01	2	true	0.000500	3
5.762675E+01	2	true	0.000500	4
5.924001E+01	2	true	0.000500	5
6.347466E+01	4	true	0.000500	1
6.398020E+01	4	true	0.000500	2
6.380706E+01	4	true	0.000500	3
6.329659E+01	4	true	0.000500	4
6.354526E+01	4	true	0.000500	5
7.486527E+01	6	true	0.000500	1
7.595905E+01	6	true	0.000500	2
7.519689E+01	6	true	0.000500	3
7.482743E+01	6	true	0.000500	4
7.493699E+01	6	true	0.000500	5
